route_id,route_number,route_description,distance_dir_0_km,distance_dir_1_km,trip_time_0_min,trip_time_1_min,road_gradient_0_%,road_gradient_1_%,number_of_daily_roundtrips_0,number_of_daily_roundtrips_1,stop_coordinates_array_0,stop_coordinates_array_1,daily_passenger_demand,emissions_impact_score,equity_score,base_buses
20-X30-G-015-1,X30,Harras - Candidplatz - Ostbahnhof - Arabellapark,12.01,12.39,39.5,39.0,0.758,1.017,93.0,95.0,"[[48.1167746, 11.53593132], [48.11617487, 11.54003662], [48.11219847, 11.54928028], [48.11209051, 11.55442763], [48.11113684, 11.57007628], [48.11249836, 11.57672382], [48.11558112, 11.57999368], [48.11940134, 11.58399119], [48.12829409, 11.60432904], [48.13212535, 11.60978182], [48.13529087, 11.60986267], [48.13645991, 11.61018606], [48.13680762, 11.61439018], [48.13730519, 11.61991481], [48.14660842, 11.62826016], [48.15365664, 11.62899678], [48.15389037, 11.6229601], [48.15321316, 11.62080415]]","[[48.15321915, 11.61989685], [48.1536087, 11.62357096], [48.15305734, 11.62912255], [48.14694407, 11.62814338], [48.13749104, 11.61973515], [48.13685558, 11.6140039], [48.13579446, 11.60940453], [48.1320594, 11.60952131], [48.12793433, 11.60394277], [48.11872968, 11.58320965], [48.11547917, 11.57968826], [48.11194656, 11.57534041], [48.11176662, 11.56984272], [48.11235441, 11.55281066], [48.11214449, 11.54819332], [48.1167746, 11.53593132]]",4869,2535.24,0.5811,8
20-X30-G-015-4,X30,Harras - Candidplatz - Ostbahnhof - Arabellapark,12.01,12.39,39.5,39.0,0.758,1.017,93.0,95.0,"[[48.1167746, 11.53593132], [48.11617487, 11.54003662], [48.11219847, 11.54928028], [48.11209051, 11.55442763], [48.11113684, 11.57007628], [48.11249836, 11.57672382], [48.11558112, 11.57999368], [48.11940134, 11.58399119], [48.12829409, 11.60432904], [48.13212535, 11.60978182], [48.13529087, 11.60986267], [48.13645991, 11.61018606], [48.13680762, 11.61439018], [48.13730519, 11.61991481], [48.14660842, 11.62826016], [48.15365664, 11.62899678], [48.15389037, 11.6229601], [48.15321316, 11.62080415]]","[[48.15321915, 11.61989685], [48.1536087, 11.62357096], [48.15305734, 11.62912255], [48.14694407, 11.62814338], [48.13749104, 11.61973515], [48.13685558, 11.6140039], [48.13579446, 11.60940453], [48.1320594, 11.60952131], [48.12793433, 11.60394277], [48.11872968, 11.58320965], [48.11547917, 11.57968826], [48.11194656, 11.57534041], [48.11176662, 11.56984272], [48.11235441, 11.55281066], [48.11214449, 11.54819332], [48.1167746, 11.53593132]]",4869,2535.24,0.5811,8
20-X35-G-015-1,X35,Moosach Bf. - OEZ West - Frankfurter Ring - Studentenstadt - Alte Heide,9.4,9.27,26.5,27.0,0.457,0.518,48.0,46.0,"[[48.18163023, 11.50878423], [48.17907256, 11.50712235], [48.18121693, 11.51222478], [48.181762, 11.51738111], [48.18385835, 11.53143076], [48.18606841, 11.54575889], [48.18673321, 11.56198246], [48.18742195, 11.57313954], [48.18779327, 11.59186043], [48.18349299, 11.60816485], [48.17988719, 11.60415836]]","[[48.17998902, 11.60468837], [48.18373257, 11.60809299], [48.18805678, 11.59183348], [48.18764354, 11.57211546], [48.18697277, 11.56176687], [48.18630798, 11.54568702], [48.18415782, 11.53139483], [48.18186981, 11.51735416], [48.18145053, 11.5130153], [48.18163023, 11.50878423]]",1227,944.09,0.4876,4
20-X36-G-015-1,X36,Allach Bf. - OEZ West - Frankfurter Ring - Studentenstadt - Alte Heide,14.52,14.96,35.0,37.0,0.516,0.561,49.0,48.0,"[[48.18984146, 11.46749766], [48.19422504, 11.46425474], [48.19732086, 11.46242218], [48.19796755, 11.46757851], [48.1966083, 11.48226596], [48.1939915, 11.49611798], [48.18189377, 11.52187268], [48.18385835, 11.53143076], [48.18606841, 11.54575889], [48.18673321, 11.56198246], [48.18742195, 11.57313954], [48.18779327, 11.59186043], [48.18349299, 11.60816485], [48.17988719, 11.60415836]]","[[48.17998902, 11.60468837], [48.18373257, 11.60809299], [48.18805678, 11.59183348], [48.18764354, 11.57211546], [48.18697277, 11.56176687], [48.18630798, 11.54568702], [48.18415782, 11.53139483], [48.18229508, 11.52136963], [48.19455439, 11.49226421], [48.19664423, 11.48248156], [48.19798551, 11.46692274], [48.19758433, 11.46279049], [48.19439271, 11.46391338], [48.18984146, 11.46749766]]",1449,1528.24,0.3661,4
20-X80-G-015-1,X80,Puchheim Bf. Süd - Lochhausen Bf. - Untermenzing Bf. - Moosach Bf.,13.48,13.67,29.5,29.0,0.616,0.651,49.0,49.0,"[[48.17202782, 11.35218991], [48.16956553, 11.35415722], [48.17873712, 11.3702191], [48.17927023, 11.38098091], [48.17699997, 11.40821783], [48.17523881, 11.41315857], [48.17699997, 11.46256591], [48.17766489, 11.47381282], [48.18048019, 11.50537063]]","[[48.18048019, 11.50537063], [48.17782662, 11.47373197], [48.17734741, 11.46316778], [48.17468768, 11.41819812], [48.17713176, 11.4081819], [48.17933013, 11.38051379], [48.17791048, 11.36916807], [48.16939778, 11.35450756], [48.17177022, 11.35277381]]",1262,1408.16,0.1621,4
3-100-G-015-23,100,Hauptbahnhof Nord - Odeonsplatz - Ostbahnhof (Museenlinie),7.76,7.13,28.0,30.5,0.94,0.743,60.0,58.0,"[[48.14138156, 11.56106618], [48.14137556, 11.55921565], [48.14237662, 11.56179382], [48.14545759, 11.56366231], [48.14810085, 11.56610573], [48.14673429, 11.57083985], [48.14536769, 11.57552007], [48.14493013, 11.5784935], [48.143018, 11.57765806], [48.14283818, 11.58920141], [48.14194503, 11.59362113], [48.14053634, 11.60066392], [48.13914559, 11.60702399], [48.13579446, 11.60940453], [48.1320594, 11.60952131], [48.12793433, 11.60394277]]","[[48.12799429, 11.60386192], [48.13212535, 11.60978182], [48.13529087, 11.60986267], [48.13954124, 11.60692518], [48.14065623, 11.60073578], [48.14210688, 11.59375587], [48.14331771, 11.58788089], [48.14398306, 11.58482662], [48.14493013, 11.5784935], [48.14308994, 11.57798146], [48.14566738, 11.57916723], [48.14774723, 11.57645432], [48.14834659, 11.5742804], [48.14915572, 11.57143274], [48.14997083, 11.56641116], [48.14695606, 11.56446181], [48.14518187, 11.56028465], [48.14138156, 11.56106618]]",1862,1009.1,1.0,4
3-100-G-015-3,100,Hauptbahnhof Nord - Odeonsplatz - Ostbahnhof (Museenlinie),7.76,7.13,28.0,30.5,0.94,0.743,85.0,83.0,"[[48.14138156, 11.56106618], [48.14137556, 11.55921565], [48.14237662, 11.56179382], [48.14545759, 11.56366231], [48.14810085, 11.56610573], [48.14673429, 11.57083985], [48.14536769, 11.57552007], [48.14493013, 11.5784935], [48.14308994, 11.57798146], [48.14493013, 11.57881689], [48.1435335, 11.58516798], [48.14283818, 11.58920141], [48.14194503, 11.59362113], [48.14053634, 11.60066392], [48.13914559, 11.60702399], [48.13579446, 11.60940453], [48.1320594, 11.60952131], [48.12793433, 11.60394277]]","[[48.12799429, 11.60386192], [48.13212535, 11.60978182], [48.13529087, 11.60986267], [48.13954124, 11.60692518], [48.14065623, 11.60073578], [48.14210688, 11.59375587], [48.14331771, 11.58788089], [48.14398306, 11.58482662], [48.14493013, 11.5784935], [48.14308994, 11.57798146], [48.14566738, 11.57916723], [48.14774723, 11.57645432], [48.14834659, 11.5742804], [48.14915572, 11.57143274], [48.14997083, 11.56641116], [48.14695606, 11.56446181], [48.14518187, 11.56028465], [48.14138156, 11.56106618]]",2722,1444.79,0.9834,6
3-130-G-015-4,130,Pasing Bf. - Laim Bf. - Westendstraße - Heimeranpl. Süd - Am Harras,9.46,9.04,32.5,31.0,0.666,0.453,59.0,57.0,"[[48.1488021, 11.45989791], [48.14657245, 11.46100284], [48.14601503, 11.465719], [48.1453497, 11.47104601], [48.14487618, 11.48355055], [48.14419286, 11.49039572], [48.14358146, 11.49649528], [48.14341362, 11.50205585], [48.14147147, 11.51209901], [48.13914559, 11.51172172], [48.13497913, 11.51420107], [48.1348832, 11.51677025], [48.13468536, 11.52350762], [48.13204741, 11.52951735], [48.13081232, 11.53113431], [48.1282761, 11.53431435], [48.12593763, 11.53555403], [48.12381493, 11.53470063], [48.12018694, 11.53460181], [48.1167746, 11.53593132], [48.11617487, 11.54003662]]","[[48.11692453, 11.53926407], [48.1169905, 11.53555403], [48.12089457, 11.53500605], [48.12407277, 11.53453893], [48.12668116, 11.53576064], [48.12838403, 11.53465571], [48.13222727, 11.5293826], [48.13478129, 11.52234879], [48.13506306, 11.51687805], [48.13545274, 11.51376988], [48.13938538, 11.51164986], [48.14172923, 11.51236851], [48.14341362, 11.50184025], [48.14380924, 11.4972319], [48.14449256, 11.49023402], [48.14523582, 11.48214918], [48.14558946, 11.47036329], [48.14639863, 11.46477576], [48.1467223, 11.46183827], [48.14896992, 11.46050877]]",1886,1216.39,0.5357,5
3-132-G-015-16,132,Marienplatz - Isartor - Fraunhoferstraße - Baldeplatz - Implerstraße - Harras - Forstenrieder Allee - Forstenrieder Park,14.37,13.45,54.5,49.5,1.023,0.788,62.0,80.0,"[[48.13639996, 11.57779281], [48.13508704, 11.57485532], [48.13407984, 11.57469362], [48.13404987, 11.58351508], [48.13302467, 11.58548239], [48.1311121, 11.5825449], [48.12949326, 11.57942774], [48.12812021, 11.57653517], [48.12573376, 11.57075002], [48.12377895, 11.56702201], [48.12058273, 11.56138059], [48.12042681, 11.55555951], [48.11978515, 11.55228964], [48.11938935, 11.54885808], [48.12294543, 11.54871434], [48.12227381, 11.54352208], [48.11997705, 11.54056663], [48.11692453, 11.53926407], [48.11700249, 11.53653319], [48.11324807, 11.53366756], [48.11222246, 11.5260229], [48.10994324, 11.5261846], [48.10644024, 11.52151336], [48.10500658, 11.51835129], [48.10068136, 11.51066171], [48.09738772, 11.50760744], [48.09445386, 11.50349315], [48.09483185, 11.50069041], [48.09456185, 11.49841767], [48.08982773, 11.49673782], [48.08700145, 11.49581256], [48.08484714, 11.49470763], [48.0825607, 11.49397101], [48.07996808, 11.49197675], [48.07750138, 11.48844637]]","[[48.07750138, 11.48844637], [48.08014213, 11.49226421], [48.08219462, 11.49401593], [48.08475112, 11.49487831], [48.08721148, 11.49604612], [48.08998375, 11.49693545], [48.09465785, 11.49819309], [48.09463385, 11.50070838], [48.09499384, 11.505173], [48.0986956, 11.50893694], [48.1011613, 11.51154206], [48.10486261, 11.51843214], [48.10636826, 11.521702], [48.10996123, 11.52626545], [48.11272027, 11.52655291], [48.11306214, 11.53389214], [48.11678059, 11.53667692], [48.11745828, 11.5402073], [48.12009099, 11.54087205], [48.12256165, 11.54539058], [48.12298741, 11.5484718], [48.11877765, 11.54820231], [48.1176262, 11.55035826], [48.11970119, 11.55237049], [48.1204448, 11.5551912], [48.1208286, 11.56190161], [48.12281351, 11.56695015], [48.12513413, 11.57128002], [48.12799429, 11.57666992], [48.12909154, 11.57906842], [48.13065044, 11.58202388], [48.13253304, 11.58532069], [48.13411582, 11.58319169], [48.13602827, 11.57958944], [48.13639996, 11.57779281]]",4630,2285.64,0.6979,11
3-134-G-015-3,134,Theresienhöhe - Schwanthalerhöhe - Harras - Obersendling - Solln Bf. - Fürstenried West,14.09,15.28,47.5,54.0,0.951,0.72,60.0,61.0,"[[48.13255702, 11.54597448], [48.1346374, 11.54625296], [48.13363619, 11.53965933], [48.1305605, 11.53910237], [48.12791634, 11.53903949], [48.1259796, 11.54029713], [48.12593763, 11.53555403], [48.12381493, 11.53470063], [48.12018694, 11.53460181], [48.11678059, 11.53667692], [48.11617487, 11.54003662], [48.11311013, 11.5392461], [48.11132278, 11.53938085], [48.10701009, 11.53983001], [48.10418476, 11.54018933], [48.10339291, 11.53793456], [48.10003945, 11.53814117], [48.09847363, 11.53792558], [48.09629579, 11.5410607], [48.09248586, 11.53972221], [48.08957572, 11.53717998], [48.08619135, 11.53396401], [48.08129442, 11.52892446], [48.07920588, 11.52741529], [48.07711125, 11.52532221], [48.07639102, 11.51916876], [48.07621696, 11.51408429], [48.07843166, 11.50813744], [48.07947595, 11.5037357], [48.08233265, 11.50393333], [48.08637737, 11.50318773], [48.08705546, 11.49927107], [48.0866114, 11.49641443], [48.08484714, 11.49470763], [48.08482313, 11.49083589], [48.08691744, 11.48547295], [48.08872364, 11.48034357]]","[[48.08872364, 11.48034357], [48.08673142, 11.48532024], [48.08470311, 11.49082691], [48.08475112, 11.49487831], [48.08632937, 11.4960551], [48.08694745, 11.49980108], [48.08689944, 11.50284637], [48.08215261, 11.50355604], [48.08011812, 11.50353807], [48.07835964, 11.50792185], [48.07608492, 11.51453345], [48.07634901, 11.51986944], [48.0766491, 11.5250617], [48.07815558, 11.52589714], [48.08071828, 11.52342677], [48.08271673, 11.51977063], [48.08383296, 11.51764162], [48.08770954, 11.51986046], [48.09052978, 11.53380231], [48.09001975, 11.53790761], [48.09301386, 11.54027018], [48.09642178, 11.54113256], [48.09840163, 11.53810524], [48.10070536, 11.53832982], [48.10366886, 11.53832084], [48.10429273, 11.54055764], [48.10730401, 11.54016238], [48.11116083, 11.53986594], [48.11692453, 11.53926407], [48.1169905, 11.53555403], [48.12089457, 11.53500605], [48.12407277, 11.53453893], [48.12573376, 11.53616488], [48.12571577, 11.54064747], [48.12795832, 11.53916525], [48.13102816, 11.53938983], [48.13331244, 11.53983001], [48.13447553, 11.54636076], [48.13255702, 11.54597448]]",3935,2066.86,0.4415,6
