route_id,route_number,route_description,distance_dir_0_km,distance_dir_1_km,trip_time_0_min,trip_time_1_min,road_gradient_0_%,road_gradient_1_%,number_of_daily_roundtrips_0,number_of_daily_roundtrips_1,stop_coordinates_array_0,stop_coordinates_array_1,base_buses,daily_passenger_demand,emissions_impact_score,equity_score
74,74,"Davtashen - ""Erebuni"" Museum",19.98,20.67,63.08,65.26,1.457,2.309,73,73,"[[40.218618, 44.499763], [40.220179, 44.501892], [40.224082, 44.502643], [40.22486, 44.498261], [40.222485, 44.49509], [40.219847, 44.491453], [40.217274, 44.487821], [40.2146, 44.488792], [40.20464, 44.497381], [40.202686, 44.498062], [40.201805, 44.495997], [40.200443, 44.494084], [40.195839, 44.494312], [40.19275, 44.499274], [40.19202, 44.505068], [40.191115, 44.511108], [40.187791, 44.516011], [40.184263, 44.52305], [40.181091, 44.523672], [40.178056, 44.522733], [40.174811, 44.519885], [40.173623, 44.516435], [40.172414, 44.513549], [40.167839, 44.513195], [40.164711, 44.512943], [40.159783, 44.511725], [40.154445, 44.510111], [40.150521, 44.510905], [40.150513, 44.515816], [40.149472, 44.518372], [40.146839, 44.518125], [40.14392, 44.517881], [40.141849, 44.521612], [40.141631, 44.525292], [40.141439, 44.528602], [40.141197, 44.533076], [40.140254, 44.533231], [40.136792, 44.531697], [40.134446, 44.527255], [40.13256, 44.524375], [40.129496, 44.524426], [40.128563, 44.525037], [40.12861, 44.529728], [40.130817, 44.533204], [40.137416, 44.537641], [40.140811, 44.534674], [40.141802, 44.534245]]","[[40.141892, 44.534285], [40.140672, 44.534728], [40.137235, 44.537662], [40.130895, 44.533156], [40.128622, 44.529535], [40.128581, 44.525158], [40.129555, 44.524482], [40.132806, 44.524439], [40.134344, 44.527228], [40.137075, 44.532032], [40.141443, 44.532668], [40.141644, 44.528908], [40.141783, 44.526327], [40.141988, 44.522374], [40.142599, 44.517846], [40.1471, 44.518198], [40.149591, 44.518442], [40.150651, 44.516121], [40.150886, 44.510255], [40.155805, 44.510534], [40.159636, 44.511924], [40.163524, 44.513034], [40.165619, 44.513227], [40.167829, 44.51345], [40.171602, 44.513764], [40.17352, 44.516612], [40.17466, 44.51997], [40.180203, 44.523696], [40.185464, 44.523726], [40.187812, 44.515765], [40.187832, 44.514815], [40.191176, 44.51143], [40.192168, 44.505264], [40.192832, 44.499486], [40.196247, 44.494076], [40.199679, 44.493862], [40.201637, 44.495959], [40.203546, 44.498314], [40.205566, 44.496914], [40.21446, 44.489232], [40.218327, 44.489517], [40.219738, 44.491483], [40.222653, 44.495541], [40.224459, 44.498041], [40.22391, 44.502547], [40.220314, 44.50164], [40.21868, 44.499382]]",10,5087,3534.06,0.9046
34,34,Davtashen - Nerkin Shengavit,18.49,23.76,53.6,68.88,2.754,1.453,78,78,"[[40.144194, 44.488213], [40.146374, 44.489739], [40.147678, 44.488025], [40.151356, 44.483793], [40.153277, 44.480612], [40.155064, 44.478106], [40.166283, 44.482682], [40.171668, 44.491727], [40.174234, 44.495849], [40.173922, 44.503593], [40.176674, 44.508327], [40.178968, 44.506431], [40.181197, 44.508115], [40.18481, 44.512466], [40.187802, 44.514853], [40.191168, 44.511452], [40.192127, 44.505293], [40.192824, 44.499543], [40.196245, 44.494092], [40.19756, 44.492354], [40.194315, 44.486947], [40.193104, 44.484868], [40.190754, 44.479756], [40.192844, 44.478793], [40.195823, 44.479201], [40.198019, 44.479458], [40.202002, 44.479973], [40.205501, 44.480445], [40.209303, 44.480971], [40.211232, 44.486797], [40.214448, 44.489232], [40.217049, 44.487693], [40.218331, 44.489522], [40.219736, 44.491507], [40.22192, 44.492258], [40.223251, 44.488674], [40.22212, 44.485413]]","[[40.222112, 44.485595], [40.223271, 44.488814], [40.223005, 44.490777], [40.219859, 44.491501], [40.218122, 44.489061], [40.21727, 44.487805], [40.21462, 44.488792], [40.211392, 44.486716], [40.220314, 44.459589], [40.21972, 44.460554], [40.212887, 44.47705], [40.208606, 44.480639], [40.204296, 44.480059], [40.202084, 44.47978], [40.197683, 44.47919], [40.195192, 44.478847], [40.192373, 44.478503], [40.190832, 44.479383], [40.192905, 44.484903], [40.194545, 44.487709], [40.196798, 44.491421], [40.195807, 44.494318], [40.19275, 44.499242], [40.191988, 44.505175], [40.191053, 44.511184], [40.187775, 44.514574], [40.184873, 44.512289], [40.18166, 44.508442], [40.178935, 44.506286], [40.176758, 44.508083], [40.174041, 44.503341], [40.173697, 44.494645], [40.171946, 44.491818], [40.166314, 44.482355], [40.157422, 44.46977], [40.15413, 44.479185], [40.15292, 44.480837], [40.150907, 44.482827], [40.150107, 44.484528], [40.14759, 44.48787], [40.144215, 44.48821]]",10,5506,3876.98,0.5906
100,100,Zvartnots Airport - France Square,13.13,14.03,31,33.14,2.387,0,32,32,"[[40.152695, 44.400631], [40.162124, 44.403632], [40.163674, 44.404866], [40.163961, 44.408455], [40.164225, 44.417094], [40.163194, 44.419549], [40.158045, 44.432525], [40.159788, 44.442079], [40.157389, 44.451086], [40.156327, 44.456145], [40.157385, 44.461241], [40.158303, 44.46447], [40.16624, 44.482752], [40.171655, 44.4917], [40.174225, 44.495863], [40.173902, 44.503185], [40.176668, 44.508314], [40.17907, 44.506339], [40.181205, 44.508153], [40.184824, 44.512476], [40.187758, 44.514928]]","[[40.187814, 44.514839], [40.187783, 44.515735], [40.184871, 44.512294], [40.181638, 44.508424], [40.179129, 44.506152], [40.176806, 44.508064], [40.174043, 44.503359], [40.173705, 44.494699], [40.171946, 44.491786], [40.166318, 44.482382], [40.158525, 44.464433], [40.157586, 44.461364], [40.156577, 44.45608], [40.159906, 44.439928], [40.15818, 44.43253], [40.159312, 44.428904], [40.163223, 44.41986], [40.164531, 44.416394], [40.164096, 44.408299], [40.163252, 44.403316], [40.152803, 44.40003]]",2,1153,977.81,0.0276
29,29,Avan - Nerkin Shengavit,19.45,19.14,61.42,60.45,1.646,3.136,85,85,"[[40.209635, 44.563615], [40.210802, 44.566308], [40.21276, 44.571903], [40.211683, 44.573915], [40.210444, 44.57822], [40.211568, 44.581661], [40.213922, 44.585183], [40.217363, 44.58506], [40.218032, 44.582444], [40.220658, 44.581602], [40.220404, 44.576018], [40.220297, 44.574258], [40.219888, 44.572526], [40.219683, 44.568969], [40.219859, 44.567306], [40.219511, 44.564044], [40.218593, 44.561641], [40.213616, 44.562435], [40.209362, 44.560665], [40.203278, 44.55584], [40.198937, 44.551122], [40.195921, 44.547179], [40.195323, 44.53844], [40.19395, 44.534744], [40.191356, 44.52765], [40.189883, 44.52596], [40.187791, 44.5235], [40.184214, 44.523082], [40.181025, 44.523672], [40.178049, 44.522717], [40.17484, 44.519906], [40.173615, 44.516441], [40.172106, 44.510754], [40.169901, 44.50774], [40.167077, 44.505873], [40.163748, 44.504145], [40.160702, 44.503191], [40.157049, 44.501635], [40.155368, 44.500589], [40.152073, 44.496249], [40.151629, 44.491078], [40.151366, 44.483779], [40.150932, 44.482835], [40.150138, 44.48453], [40.146179, 44.485477], [40.143337, 44.484104], [40.142136, 44.482934], [40.139023, 44.483125]]","[[40.139054, 44.482977], [40.139487, 44.48084], [40.142115, 44.482945], [40.143456, 44.48419], [40.146413, 44.485885], [40.150964, 44.484638], [40.151504, 44.490898], [40.151928, 44.496115], [40.152727, 44.498974], [40.156278, 44.501474], [40.158836, 44.502826], [40.163535, 44.504403], [40.166937, 44.506119], [40.171889, 44.510615], [40.173516, 44.516585], [40.174664, 44.51997], [40.180203, 44.523691], [40.186963, 44.522859], [40.188381, 44.524525], [40.190975, 44.527556], [40.193336, 44.534304], [40.195245, 44.537786], [40.195602, 44.546986], [40.203587, 44.556389], [40.213596, 44.562682], [40.218114, 44.561974], [40.219515, 44.564543], [40.219622, 44.569044], [40.219634, 44.571775], [40.220257, 44.574451], [40.220416, 44.57789], [40.220605, 44.581296], [40.217647, 44.58323], [40.214714, 44.58577], [40.213317, 44.584376], [40.211548, 44.581441], [40.211281, 44.57495], [40.212801, 44.57186], [40.210741, 44.566078], [40.209643, 44.563551]]",11,8082,3967.86,0.4707
52,52,South-Western District - Bagrevand Street,23.18,21.96,68.51,64.9,3.055,1.148,93,93,"[[40.181623, 44.447749], [40.180218, 44.446682], [40.180615, 44.444498], [40.180505, 44.441628], [40.178013, 44.439992], [40.176517, 44.438737], [40.174078, 44.4379], [40.173348, 44.440126], [40.173766, 44.443914], [40.174033, 44.446773], [40.174436, 44.449967], [40.174596, 44.452202], [40.174578, 44.457888], [40.175603, 44.458167], [40.17814, 44.459052], [40.182783, 44.460613], [40.185992, 44.461675], [40.189209, 44.462067], [40.190787, 44.465361], [40.191336, 44.473177], [40.190103, 44.475119], [40.189605, 44.479241], [40.192938, 44.484941], [40.19459, 44.487736], [40.196831, 44.491453], [40.199748, 44.493899], [40.201641, 44.496024], [40.202944, 44.499135], [40.204403, 44.502724], [40.205689, 44.505932], [40.206849, 44.510883], [40.206611, 44.515089], [40.206398, 44.518887], [40.206195, 44.522725], [40.207144, 44.52814], [40.204644, 44.531348], [40.204182, 44.535452], [40.205591, 44.538714], [40.203338, 44.542598], [40.20226, 44.54595], [40.203997, 44.550188], [40.213358, 44.550612], [40.216541, 44.549507], [40.216394, 44.551948], [40.213522, 44.562414], [40.209194, 44.560592], [40.205882, 44.563352], [40.202145, 44.565343], [40.200404, 44.566271], [40.198851, 44.568872], [40.200519, 44.571925], [40.200945, 44.573867], [40.203731, 44.5737], [40.206339, 44.571303], [40.20632, 44.577906], [40.200879, 44.582691]]","[[40.20092, 44.582815], [40.20648, 44.577729], [40.206173, 44.571394], [40.203747, 44.573631], [40.201445, 44.57458], [40.200553, 44.571799], [40.198804, 44.568682], [40.199947, 44.566694], [40.203303, 44.564943], [40.205937, 44.563546], [40.208639, 44.561727], [40.213588, 44.562666], [40.216451, 44.55191], [40.216578, 44.549416], [40.213465, 44.550446], [40.204149, 44.550698], [40.202748, 44.54675], [40.20396, 44.541825], [40.20573, 44.538741], [40.204321, 44.535372], [40.204526, 44.531676], [40.207041, 44.528425], [40.206328, 44.523318], [40.206525, 44.519423], [40.206738, 44.515539], [40.207037, 44.509923], [40.20562, 44.505379], [40.204055, 44.501522], [40.202666, 44.498025], [40.201801, 44.496008], [40.200424, 44.494084], [40.19754, 44.492338], [40.194307, 44.486915], [40.193102, 44.48486], [40.189889, 44.479464], [40.189758, 44.475762], [40.191488, 44.472839], [40.191209, 44.469191], [40.190898, 44.465017], [40.18939, 44.461874], [40.186291, 44.461573], [40.18248, 44.460318], [40.178783, 44.459063], [40.176062, 44.458129], [40.174006, 44.457319], [40.17475, 44.452481], [40.174344, 44.446971], [40.173594, 44.440148], [40.173733, 44.437927], [40.176502, 44.438793], [40.178431, 44.440438], [40.180505, 44.444686], [40.180132, 44.446698], [40.181648, 44.447916]]",13,9057,5062.41,1
56,56,South-Western District - Mushavan,18.59,18.48,54.15,53.83,1.152,1.776,60,60,"[[40.14549, 44.565836], [40.144432, 44.5628], [40.144125, 44.550204], [40.142968, 44.543821], [40.142653, 44.540092], [40.141381, 44.533285], [40.141644, 44.528886], [40.141787, 44.526354], [40.141996, 44.522395], [40.142513, 44.52202], [40.145642, 44.522341], [40.14948, 44.522706], [40.154454, 44.522626], [40.154671, 44.518624], [40.154896, 44.514686], [40.154466, 44.5101], [40.15046, 44.509639], [40.150907, 44.503083], [40.15208, 44.496217], [40.151637, 44.491078], [40.15144, 44.483685], [40.153318, 44.480617], [40.155056, 44.478096], [40.161591, 44.467152], [40.164387, 44.463773], [40.165281, 44.460737], [40.167159, 44.457207], [40.173135, 44.457411], [40.174033, 44.457191], [40.17477, 44.452443], [40.17434, 44.446982], [40.173611, 44.440143], [40.173709, 44.43797], [40.176439, 44.438796], [40.178406, 44.440416], [40.181382, 44.442015], [40.18389, 44.443839], [40.185804, 44.446864], [40.184681, 44.452717], [40.183652, 44.457936], [40.181209, 44.457625], [40.17932, 44.457008]]","[[40.179177, 44.457046], [40.18266, 44.458172], [40.183988, 44.456713], [40.184709, 44.452894], [40.185888, 44.446749], [40.185591, 44.444423], [40.183804, 44.443667], [40.181451, 44.441929], [40.180496, 44.441639], [40.177955, 44.439912], [40.176512, 44.438721], [40.174098, 44.437889], [40.173371, 44.440161], [40.173785, 44.443908], [40.174063, 44.446757], [40.174426, 44.449957], [40.17459, 44.452199], [40.172528, 44.456971], [40.167978, 44.45622], [40.165265, 44.460232], [40.164264, 44.463537], [40.161731, 44.466809], [40.157447, 44.469743], [40.15424, 44.479018], [40.152896, 44.480864], [40.150903, 44.482843], [40.150968, 44.484624], [40.151489, 44.490922], [40.151936, 44.496115], [40.151907, 44.499033], [40.150837, 44.502826], [40.150833, 44.510261], [40.155032, 44.510958], [40.154855, 44.514585], [40.15463, 44.518645], [40.154404, 44.522588], [40.14987, 44.522663], [40.145855, 44.522248], [40.14246, 44.521939], [40.141648, 44.525276], [40.141472, 44.528572], [40.141219, 44.53306], [40.142189, 44.534733], [40.14262, 44.540135], [40.144014, 44.549963], [40.144354, 44.562746], [40.145412, 44.565858]]",7,3653,2621.45,0.6296
28,28,Nor Nork 8-th Block - Huysi Avan,23.41,25.44,69.54,75.55,1.765,2.485,85,85,"[[40.174244, 44.57123], [40.175131, 44.570611], [40.176918, 44.572687], [40.175801, 44.574427], [40.181189, 44.578405], [40.182185, 44.570653], [40.182595, 44.567585], [40.186877, 44.564152], [40.190963, 44.567644], [40.194069, 44.569452], [40.196741, 44.5684], [40.199896, 44.566748], [40.203329, 44.564956], [40.20591, 44.56354], [40.208582, 44.56177], [40.20419, 44.550639], [40.20278, 44.546728], [40.203977, 44.541804], [40.205738, 44.538757], [40.207369, 44.53675], [40.209008, 44.535205], [40.211343, 44.532319], [40.208623, 44.52865], [40.206337, 44.523371], [40.206541, 44.519391], [40.206771, 44.515539], [40.207049, 44.509907], [40.205607, 44.50539], [40.20405, 44.501474], [40.202666, 44.498105], [40.201781, 44.495938], [40.200414, 44.494079], [40.197564, 44.492349], [40.194331, 44.486915], [40.193123, 44.484898], [40.190783, 44.479748], [40.192762, 44.478058], [40.193594, 44.473697], [40.196429, 44.474083], [40.199253, 44.475156], [40.202018, 44.479989], [40.203805, 44.480236], [40.205337, 44.477366], [40.204796, 44.473761], [40.20428, 44.469861], [40.205775, 44.46852], [40.207676, 44.468359], [40.209118, 44.467737], [40.209077, 44.463451], [40.209204, 44.461498], [40.212371, 44.457502], [40.213244, 44.46042], [40.213276, 44.462598], [40.212695, 44.463816], [40.209745, 44.46263], [40.212816, 44.46406], [40.216287, 44.466332], [40.220457, 44.464754]]","[[40.220216, 44.464701], [40.22031, 44.459583], [40.219745, 44.460554], [40.212908, 44.463837], [40.213338, 44.460812], [40.209159, 44.454959], [40.209061, 44.45725], [40.209049, 44.460458], [40.208989, 44.463129], [40.20877, 44.467944], [40.207, 44.468274], [40.205386, 44.468424], [40.204239, 44.469303], [40.204731, 44.473885], [40.205275, 44.477216], [40.20435, 44.480091], [40.202117, 44.479802], [40.199195, 44.47632], [40.196913, 44.474089], [40.194758, 44.473761], [40.193032, 44.474325], [40.192348, 44.478525], [40.19084, 44.479373], [40.192914, 44.484925], [40.194581, 44.487757], [40.196845, 44.491453], [40.199683, 44.493899], [40.201609, 44.496002], [40.202928, 44.499146], [40.204382, 44.502718], [40.205677, 44.505942], [40.206861, 44.51084], [40.206623, 44.5151], [40.206398, 44.518903], [40.206181, 44.522733], [40.208176, 44.528521], [40.211273, 44.532233], [40.208852, 44.535205], [40.207308, 44.536691], [40.205575, 44.5388], [40.203395, 44.542614], [40.202289, 44.545972], [40.203977, 44.550199], [40.205796, 44.56339], [40.202092, 44.565353], [40.200388, 44.566255], [40.197864, 44.567574], [40.193979, 44.569108], [40.191053, 44.567413], [40.186927, 44.563884], [40.183169, 44.56236], [40.18257, 44.567344], [40.182173, 44.570358], [40.181132, 44.578276], [40.180486, 44.579336], [40.176943, 44.572713], [40.175127, 44.570562], [40.174188, 44.571238]]",13,8717,4998.19,0.9309
61,61,Erebuni District - Central Bus Station,11.62,10.78,34.01,31.55,1.704,2.032,78,78,"[[40.131132, 44.533414], [40.128643, 44.529557], [40.128589, 44.525131], [40.13037, 44.524493], [40.132781, 44.52445], [40.134364, 44.527277], [40.137104, 44.532062], [40.141389, 44.533215], [40.141644, 44.528897], [40.141779, 44.526338], [40.142005, 44.522411], [40.142587, 44.52202], [40.145773, 44.522309], [40.149505, 44.52269], [40.154445, 44.52262], [40.154667, 44.518645], [40.154917, 44.514767], [40.155843, 44.51055], [40.159636, 44.511929], [40.163551, 44.513034], [40.165638, 44.513222], [40.167823, 44.513447], [40.171614, 44.513737], [40.172114, 44.51076], [40.171877, 44.507911], [40.175168, 44.50524], [40.173688, 44.494656], [40.171942, 44.491796]]","[[40.171647, 44.491662], [40.174225, 44.495857], [40.17675, 44.503711], [40.172836, 44.506908], [40.171885, 44.510631], [40.17241, 44.513571], [40.16781, 44.513211], [40.164752, 44.512959], [40.159779, 44.511747], [40.155044, 44.510985], [40.154855, 44.514574], [40.154626, 44.51864], [40.154404, 44.522588], [40.14989, 44.522669], [40.145855, 44.522245], [40.142456, 44.521928], [40.141652, 44.525287], [40.141455, 44.528596], [40.141217, 44.533102], [40.140282, 44.533258], [40.136817, 44.531735], [40.134414, 44.527234], [40.132588, 44.524353], [40.130484, 44.524391], [40.128548, 44.525029], [40.12861, 44.529766], [40.130443, 44.53285]]",6,4090,2092.25,0.8084
31,31,Davtashen - Jrvezh,20.89,20.84,61.13,60.99,3.036,1.767,93,93,"[[40.218643, 44.499768], [40.220199, 44.501903], [40.223681, 44.503346], [40.224885, 44.498277], [40.222538, 44.495181], [40.2199, 44.491555], [40.218127, 44.489071], [40.216336, 44.485563], [40.212748, 44.482076], [40.208631, 44.480606], [40.204329, 44.48007], [40.2021, 44.47978], [40.197716, 44.479212], [40.195208, 44.478847], [40.192373, 44.478493], [40.190873, 44.47934], [40.19293, 44.48493], [40.194586, 44.48772], [40.196806, 44.491464], [40.199728, 44.493878], [40.201633, 44.496002], [40.202903, 44.499156], [40.204354, 44.502697], [40.205665, 44.505894], [40.206836, 44.510883], [40.206607, 44.515142], [40.206394, 44.518908], [40.206173, 44.522733], [40.203272, 44.529938], [40.201609, 44.53292], [40.199363, 44.536976], [40.200289, 44.541364], [40.202268, 44.545923], [40.204001, 44.550183], [40.205771, 44.56339], [40.202108, 44.565343], [40.200379, 44.566255], [40.197962, 44.567499], [40.193971, 44.569119], [40.191078, 44.567413], [40.188103, 44.569715], [40.186816, 44.57164], [40.188299, 44.570117], [40.189451, 44.5717], [40.191107, 44.573623], [40.191754, 44.576281], [40.18789, 44.581618], [40.189181, 44.586505], [40.189443, 44.590513], [40.188447, 44.59504], [40.185718, 44.597556]]","[[40.185365, 44.5974], [40.18823, 44.596462], [40.189373, 44.591296], [40.18934, 44.586382], [40.18798, 44.581656], [40.191815, 44.576275], [40.191119, 44.57358], [40.189492, 44.571721], [40.190947, 44.567639], [40.194086, 44.569452], [40.196741, 44.568411], [40.199912, 44.566759], [40.20328, 44.564946], [40.205886, 44.563551], [40.208614, 44.561759], [40.204157, 44.550623], [40.202772, 44.54675], [40.200543, 44.541557], [40.199306, 44.53748], [40.20174, 44.533049], [40.203854, 44.529294], [40.206304, 44.523329], [40.20655, 44.51937], [40.206754, 44.515518], [40.207082, 44.509917], [40.205632, 44.505358], [40.204067, 44.501463], [40.202641, 44.498062], [40.20183, 44.496013], [40.20042, 44.494076], [40.197581, 44.492376], [40.194315, 44.486931], [40.193119, 44.484866], [40.190766, 44.479759], [40.192963, 44.478804], [40.195921, 44.479233], [40.198044, 44.479469], [40.201985, 44.479984], [40.205493, 44.480413], [40.209393, 44.480917], [40.211224, 44.486781], [40.214423, 44.489222], [40.21834, 44.489538], [40.219712, 44.491491], [40.222665, 44.495552], [40.224475, 44.498019], [40.223927, 44.5026], [40.220338, 44.501678], [40.218647, 44.499339]]",12,8138,4718.69,0.8922
60,60,Nor Nork 9-th Block - Northern Bus Station,15.17,15.11,43.55,43.38,2.921,2.574,64,64,"[[40.170311, 44.560018], [40.173262, 44.56273], [40.173291, 44.564951], [40.17334, 44.56832], [40.17516, 44.570648], [40.175775, 44.574446], [40.181185, 44.578443], [40.181808, 44.57104], [40.179861, 44.570374], [40.182091, 44.56655], [40.186935, 44.564179], [40.190965, 44.567633], [40.194073, 44.569436], [40.196802, 44.568368], [40.199896, 44.566727], [40.203325, 44.564932], [40.205886, 44.563578], [40.20859, 44.561765], [40.204177, 44.55066], [40.202756, 44.546723], [40.203878, 44.54263], [40.205648, 44.544759], [40.209458, 44.541155], [40.211199, 44.539036], [40.214219, 44.536788], [40.217922, 44.536616], [40.219605, 44.540543], [40.223587, 44.545602], [40.225626, 44.547683], [40.228469, 44.550357], [40.229656, 44.551183], [40.232667, 44.554185], [40.234493, 44.554689], [40.23512, 44.556459]]","[[40.235103, 44.556438], [40.232671, 44.554072], [40.229726, 44.551186], [40.228526, 44.550322], [40.225632, 44.547627], [40.22329, 44.545213], [40.219454, 44.539706], [40.217922, 44.53645], [40.214137, 44.536707], [40.211105, 44.539014], [40.209368, 44.541074], [40.206091, 44.545065], [40.204321, 44.542984], [40.203362, 44.542619], [40.202256, 44.545945], [40.20396, 44.550097], [40.205812, 44.563358], [40.202067, 44.565321], [40.200347, 44.566276], [40.197888, 44.567564], [40.193963, 44.569119], [40.191037, 44.567424], [40.186906, 44.563889], [40.183455, 44.562371], [40.181755, 44.566421], [40.179894, 44.570476], [40.181759, 44.571158], [40.181406, 44.576125], [40.180701, 44.579505], [40.176947, 44.572721], [40.175115, 44.570525], [40.173627, 44.568631], [40.17336, 44.565471], [40.173291, 44.562719], [40.17038, 44.559841]]",6,3589,2371.7,0.8187
